#,Category,Issue Description,Code Location,Documentation Location,What's Missing,Tests Affected,Priority,Notes
1,Performance,Performance assertions disabled,"tests/integration/performance/test_performance_high_priority.py:146-170","CONFLUENCE_SPECS_MEETING.md:46-85","P95/P99 thresholds, Max error rate",28,Critical,"Assertions commented out with TODO, tests can't fail on performance degradation"
2,ROI,ROI change limit 50% hardcoded,src/utils/validators.py:395,"CONFLUENCE_SPECS_MEETING.md:87-118","Confirmation of 50%, cooldown period",6,Critical,"Value hardcoded, never confirmed by team, may block legitimate use or allow dangerous changes"
3,NFFT,NFFT validation accepts any value,src/utils/validators.py:194-227,"CONFLUENCE_SPECS_MEETING.md:125-159","Valid values list, maximum NFFT",6,Critical,"Code only warns if not power of 2, doesn't enforce config list, no maximum"
4,Frequency,No absolute maximum/minimum,src/models/focus_server_models.py:46-57,"CONFLUENCE_SPECS_MEETING.md:161-197","Max freq, Min freq, Min span",16,High,"Only checks >= 0, accepts extreme values like 999999 Hz"
5,Sensors,No min/max ROI size,src/utils/validators.py:116-151,"CONFLUENCE_SPECS_MEETING.md:199-237","Min ROI size, Max ROI size",15,High,"Accepts single sensor ROI, no practical limits"
6,API Timeouts,Timeout thresholds arbitrary,"tests/integration/api/test_api_endpoints_high_priority.py:135-147","CONFLUENCE_SPECS_MEETING.md:239-273",SLA for each endpoint,3,Medium,"Uses 1000ms as 'reasonable' but no official SLA"
7,Config Edge Cases,No assertions for edge cases,"tests/integration/api/test_config_validation_high_priority.py:475-520","CONFLUENCE_SPECS_MEETING.md:275-310","Expected behavior for min==max",8,Medium,"Tests exist but don't check anything, no spec if min==max is valid"
8,MongoDB Outage,Behavior undefined,Test failures,"documentation/infrastructure/MONGODB_ISSUES_WORKFLOW.md","HTTP status, recovery time",5,Critical,"Tests fail: expected 503 got 500, expected 5s got 15s"
9,RabbitMQ Commands,No timeouts,src/external/rabbitmq/,docs/RABBITMQ_AUTOMATION_GUIDE.md,"Command timeouts, retries",8,High,"No timeout or retry logic for commands"
10,SingleChannel API,Endpoint returns 422,tests/integration/api/test_singlechannel_view_mapping.py,"documentation/testing/SINGLECHANNEL_TEST_RESULTS.md:48-80","Is endpoint valid? payload format?",11,Critical,"POST /configure returns 422 for all requests, 11/13 tests fail"
11,Live/Historical Threshold,1 hour hardcoded,src/utils/helpers.py:200-220,"CRITICAL_MISSING_SPECS_LIST.md:195-206","Confirmation of 1 hour or different value",-,High,"Hardcoded threshold never confirmed"
12,Polling,Timeouts hardcoded,src/utils/helpers.py:474-504,"CODE_EVIDENCE_MISSING_SPECS.md:231-259","Timeout for each operation type",Multiple,Medium,"Default 60s timeout, no spec for different scenarios"
13,Default Values,Mismatch code vs config,src/utils/helpers.py:507-532,"CODE_EVIDENCE_MISSING_SPECS.md:262-293","Align defaults between code and config",Multiple,Medium,"Code: sensors_max=100, Config: default_end=109"
14,Waterfall Polling,No timeout logic,Multiple test files,"CRITICAL_MISSING_SPECS_LIST.md:44-55","Max wait time, retry strategy",Multiple,High,"Can wait indefinitely for data"
15,Data Quality,No validation limits,src/utils/validators.py:229-324,"CRITICAL_MISSING_SPECS_LIST.md:70-90","Amplitude range, missing data percentage",Multiple,High,"No checks for data quality metrics"
16,Error Handling,HTTP status semantics unclear,Multiple API files,"CRITICAL_MISSING_SPECS_LIST.md:246-273","200 no data meaning, 208 meaning",Multiple,High,"Not clear when to use each status code"
17,Time Validation,Future/past time limits,src/models/focus_server_models.py:99-105,"CRITICAL_MISSING_SPECS_LIST.md:288-305","Max future/past allowed",Multiple,Medium,"Accepts any future time, no past limit"
18,Task Lifecycle,No cleanup/timeout,Backend (not in automation code),"CRITICAL_MISSING_SPECS_LIST.md:307-320","Auto cleanup time, max concurrent",-,Medium,"Tasks never expire, no cleanup"
19,K8s Resource Limits,Not defined,K8s manifests,"CRITICAL_MISSING_SPECS_LIST.md:388-407","CPU/Memory limits",-,Low,"No resource limits set in K8s"
20,Security,No authentication,Backend,"CRITICAL_MISSING_SPECS_LIST.md:471-502","Auth method, rate limiting",-,Low,"Currently no authentication or authorization"

